domain,external_source_linked_from_wikipedia_article
70news.wordpress.com,https://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/2/
ABCnews.com.co,
americannews.com,https://www.buzzfeednews.com/article/craigsilverman/how-the-hyperpartisan-sausage-is-made
beforeitsnews.com,https://www.newsguardtech.com/wp-content/uploads/2020/02/BeforeItsNews.com-label.pdf
bients.com,
bizstandardnews.com,
Bloomberg.ma,
Thebostontribune.com,https://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/11/
Breaking-CNN.com,
BVAnews.com,https://slate.com/technology/2016/11/facebook-is-fueling-an-international-boom-in-pro-trump-propaganda.html
celebtricity.com,https://www.washingtonpost.com/news/the-intersect/wp/2015/11/06/what-was-fake-on-the-internet-this-week-amazing-cows-the-kkk-and-a-secret-sister-gift-exchange/
CBSnews.com.co,
cnn-trending.com,
conservative101.com,https://www.buzzfeednews.com/article/craigsilverman/how-the-hyperpartisan-sausage-is-made
conservativefrontline.com,https://www.google.com/search?hl=en&q=Conservative%20Frontline
CountyNewsroom.info,
dailybuzzlive.com,https://www.google.com/search?hl=en&q=Daily%20Buzz%20Live
dailyusaupdate.com,https://www.politifact.com/factchecks/2017/jun/07/daily-usa-update/actor-scott-baio-healthy-after-fake-news-report-hi/
dcgazette.com,https://www.google.com/search?hl=en&q=DC%20Gazette
Denverguardian.com,https://www.npr.org/sections/alltechconsidered/2016/11/23/503146770/npr-finds-the-head-of-a-covert-fake-news-operation-in-the-suburbs
Disclose.tv,https://www.google.com/search?hl=en&q=Disclose%20tv
DrudgeReport.com.co,
empireherald.com,https://www.snopes.com/news/2016/01/14/fake-news-sites/
Empirenews.net,https://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/8/
empiresports.co,https://newrepublic.com/article/118013/satire-news-websites-are-cashing-gullible-outraged-readers
expositiondaily.com,
Fox-news24.com,
thegatewaypundit.com,
globalassociatednews.com,https://newrepublic.com/article/118013/satire-news-websites-are-cashing-gullible-outraged-readers
Globalresearch.ca,
MzansiVille.co.za,https://mg.co.za/article/2016-08-05-00-fake-news-websites-fall-foul-of-the-iec-after-marked-ballot-story-earlier-this-week/
guerilla.news,https://www.politifact.com/factchecks/2017/may/30/blog-posting/pants-fire-bloggers-claim-obama-canceled-trump-rev/
gummypost.com,https://www.snopes.com/fact-check/was-musician-kodak-black-shot-in-florida/
houstonchronicle-tv.com,https://www.snopes.com/fact-check/don-moen-death-hoax/
huzlers.com,
infowars.com,
ΚΒΟΙ2.com,
КВОІ2.com,
kmt11.com,
TheLastLineOfDefense.org,https://www.politifact.com/article/2017/may/31/If-youre-fooled-by-fake-news-this-man-probably-wro/
liberalsociety.com,https://www.buzzfeednews.com/article/craigsilverman/how-the-hyperpartisan-sausage-is-made
libertywriters.com,
interestingthingsdaily.com,https://www.snopes.com/fact-check/adam-sandler-death-hoax-2/
linkbeef.com,https://www.snopes.com/fact-check/adam-sandler-death-hoax-2/
nahadaily.com,https://www.google.com/search?hl=en&q=Naha%20Daily
nationalinsiderpolitics.com,https://www.cpbf.org.uk/2017/01/09/post-truth-politics/
NationalReport.net,
naturalnews.com,
NBCNews.com.co,
newsbreakshere.com,https://www.nytimes.com/2016/11/25/world/europe/fake-news-donald-trump-hillary-clinton-georgia.html
NewsBuzzDaily.com,https://www.snopes.com/fact-check/false-wendys-admits-to-using-horse-and-rat-meat-in-their-chili/
newsexaminer.net,https://www.google.com/search?hl=en&q=%22News+Examiner%22+fake
news-hound.org,https://newrepublic.com/article/118013/satire-news-websites-are-cashing-gullible-outraged-readers
thenewsnerd.com,https://newrepublic.com/article/118013/satire-news-websites-are-cashing-gullible-outraged-readers
newspunch.com,
YourNewsWire.com,https://www.hollywoodreporter.com/features/hollywoods-hidden-alt-media-firebrands-1041157
TheNewYorkEvening.com,
newswatch28.com,https://www.google.com/search?hl=en&q=Newswatch28
newswatch33.com,https://www.google.com/search?hl=en&q=Newswatch33
nnn.is,https://www.youtube.com/watch?v=shfB-HJhpss
Now8News.com,
opindia.com,
ThePredicted.com,https://www.huffingtonpost.ca/entry/2016-election-fake-news-sites_n_58efb05be4b0b9e9848a3520
prntly.com,
React365.com,https://www.google.com/search?hl=en&q=React365
redflagnews.com,https://www.google.com/search?hl=en&q=%22Red+Flag+News%22+fake
thereporterz.com,https://www.snopes.com/news/2016/01/14/fake-news-sites/
Snoopack.com,https://www.politifact.com/factchecks/2017/jun/28/snoopackcom/website-puts-fake-headline-old-post-supporting-tre/
spinzon.com,https://www.snopes.com/fact-check/did-john-mccain-accidentally-vote-no-on-aca-repeal/
StGeorgeGazette.com,https://www.politifact.com/factchecks/2017/jul/05/stgeorgegazettecom/story-about-ryan-announcing-trumps-resignation-com/
Stuppid.com,https://www.google.com/search?hl=en&q=stuppid
superstation95.com,https://www.snopes.com/fact-check/defcon-warning-level-escalated-to-3/
TrueTrumpers.com,
uconservative.net,https://www.kxan.com/news/local/austin/fake-news-willie-nelson-not-deathly-ill-publicist-says/994858207/
UndergroundNewsReport.com,
unitedmediapublishing.com,https://www.google.com/search?hl=en&q=united%20media%20publishing
usadailyinfo.com,https://www.snopes.com/fact-check/trump-ban-full-face-veils/
usatoday.com.co,
USPostman.com,https://www.politifact.com/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
washingtonpost.com.co,
WorldTruth.Tv,https://www.google.com/search?hl=en&q=world%20truth%20tv
worldnewsdailyreport.com,
