fake_news_domain,category
12minutos.com,fake
20minutenews.com,fake
24aktuelles.com,fake
24x365live.com,fake
8shit.net,fake
abc14news.com,fake
abcnews-us.com,fake
abcnews.com.co,fake
abcnews.live,fake
actualite.co,fake
adobochronicles.com,fake
alabamaobserver.com,fake
albertatimes.com,fake
alertchild.com,fake
alynews.com,fake
americanflavor.news,fake
americaslastlineofdefense.org,fake
areyousleep.com,fake
associatedmediacoverage.com,fake
badcriminals.com,fake
baldwinpost.com,fake
baltimoregazette.com,fake
battypost.com,fake
bebest.website,fake
bizstandardnews.com,fake
borderherald.com,fake
boston-post.com,fake
bostonleader.com,fake
breaking-cnn.com,fake
breakingnews247.net,fake
breakingnews365.net,fake
burrardstreetjournal.com,fake
cartelpress.com,fake
cartelreport.com,fake
cbsnews10.com,fake
celebtricity.com,fake
channel16news.com,fake
channel17news.com,fake
channel18news.com,fake
channel22news.com,fake
channel23news.com,fake
channel24news.com,fake
channel28news.com,fake
channel33news.com,fake
channel34news.com,fake
channel40news.com,fake
channel45news.com,fake
channel46news.com,fake
channel5000.com,fake
channel55news.com,fake
channel56news.com,fake
channel59news.com,fake
channel60news.com,fake
channel62news.com,fake
channel63news.com,fake
channel65news.com,fake
channel66news.com,fake
channel68news.com,fake
channel77news.com,fake
christiantimesnewspaper.com,fake
civictribune.com,fake
clancyreport.com,fake
cnn-globalnews.com,fake
cnn-internationaledition.com,fake
cnn.com.de,fake
cnoticias.net,fake
countyweekly.com,fake
cvikasdrv.com,fake
dailycurrant.com,fake
dailyfinesser.com,fake
dailynews11.com,fake
dailynews3.com,fake
dailynews33.com,fake
dailynews5.com,fake
dailyworldupdate.com,fake
dailyworldupdate.us,fake
dallastimes.us,fake
denverguardian.com,fake
denverinquirer.com,fake
dildothedonald.us,fake
donaldtrumpliedto.us,fake
drugsofficial.com,fake
dublintribune.com,fake
empireherald.com,fake
empirenews.net,fake
empiresports.co,fake
en-bref.fr,fake
en.mediamass.net,fake
everydaybreakingnews.com,fake
fedsalert.com,fake
fergieinfo.com,fake
florida-times.co,fake
floridasunpost.com,fake
folksvideo.com,fake
foxnews-us.com,fake
freddymag.com,fake
freeinquirer.com,fake
freewoodpost.com,fake
globalassociatednews.com,fake
headlinebrief.com,fake
heaviermetal.net,fake
hoggwatch.us,fake
hotglobalnews.com,fake
houstonchronicle-tv.com,fake
houstonleader.com,fake
huzlers.com,fake
jacksontelegraph.com,fake
jokerviral.com,fake
journaldemourreal.com,fake
kata33.com,fake
klponews.com,fake
km8news.com,fake
kmt11.com,fake
knp7.com,fake
krbcnews.com,fake
kspm33.com,fake
kupr7.com,fake
ky12news.com,fake
ky6news.com,fake
kypo6.com,fake
ladiesofliberty.net,fake
landrypost.com,fake
localnews33.com,fake
lopezreport.com,fake
maywoodpost.com,fake
mbynews.com,fake
mckenziepost.com,fake
mediamass.net,fake
mississippiherald.com,fake
mrnewswatch.com,fake
msnbc.website,fake
nachrichten.de.com,fake
nachrichten365.com,fake
nationalreport.net,fake
nbc9news.com,fake
ncscooper.com,fake
neonnettle.com,fake
net-infosnews.com,fake
