fake_news_domain,category
100percentfedup.com,bias
16wmpo.com,fake
21stcenturywire.com,conspiracy
24newsflash.com,fake
24wpn.com,fake
365usanews.com,bias
4threvolutionarywar.wordpress.com,bias
70news.wordpress.com,fake
82.221.129.208,conspiracy
aanirfan.blogspot.co.uk,unreliable
abcnews.com.co,fake
abcnewsgo.co,fake
abeldanger.net,conspiracy
abovetopsecret.com,conspiracy
abriluno.com,satire
aceflashman.wordpress.com,satire
actforamerica.org,hate
acting-man.com,unreliable
activistpost.com,conspiracy
actualidadpanamericana.com,satire
addictinginfo.org,clickbait
adflegal.org,hate
adobochronicles.com,satire
advocate.com,political
aheadoftheherd.com,bias
ahtribune.com,unreliable
allnewspipeline.com,unreliable
alt-market.com,conspiracy
alternativemediasyndicate.com,fake
alternet.org,political
americablog.com,bias
americanborderpatrol.com,hate
americanfreepress.net,conspiracy
americankabuki.blogspot.com,junksci
americanlookout.com,bias
americannews.com,fake
americannewsx.com,political
americanoverlook.com,fake
americanpatriotdaily.com,bias
americanpoliticnews.co,fake
americanpresident.co,fake
americanprogress.org,political
americanreviewer.com,conspiracy
americanthinker.com,bias
americantoday.news,rumor
americasfreedomfighters.com,bias
ammoland.com,bias
amplifyingglass.com,clickbait
amposts.com,fake
amren.com,hate
amtvmedia.com,rumor
amusmentic.com,clickbait
ancient-code.com,junksci
anews24.org,fake
angrypatriotmovement.com,conspiracy
anonews.co,unreliable
anonhq.com,unreliable
anonjekloy.tk,fake
anonnews.co,unreliable
anotherdayintheempire.com,bias
antiwar.com,bias
antoniusaquinas.wp.com,bias
aryannationswordwide1488.org,hate
asia-pacificresearch.com,unreliable
assassinationscience.com,conspiracy
associatedmediacoverage.com,satire
attn.com,political
aurora-news.us,fake
automaticearth.com,unreliable
automotostar.com,clickbait
awarenessact.com,conspiracy
awazetribune.com,satire
awdnews.com,conspiracy
awm.com,unreliable
baptistnews.com,political
barenakedislam.com,hate
barnesreview.org,hate
bb4sp.com,conspiracy
beehivebugle.com,satire
beforeitsnews.com,fake
betootaadvocate.com,satire
bients.com,clickbait
bigamericannews.com,satire
bigbluedimension.com,rumor
bigbluevision.com,hate
bigbluevision.org,clickbait
bighairynews.com,fake
bignuggetnews.com,bias
bipartisanreport.com,clickbait
blackagendareport.com,unreliable
blackgenocide.org,conspiracy
blackinusrancenews.com,fake
blacklistednews.com,clickbait
bluenationreview.com,clickbait
boilingfrogspost.com,unreliable
borowitzreport.com,satire
bostonleader.com,fake
bostontribune.com,satire
breaking911.com,clickbait
breakpoint.org,unreliable
breitbart.com,political
brotherjohnf.com,bias
bullionbullscanada.com,conspiracy
burrardstreetjournal.com,satire
buzzfeedusa.com,fake
bvanews.com,unreliable
callthecops.net,satire
canadafreepress.com,conspiracy
cannasos.com,fake
cap-news.com,fake
cato.org,political
cbsnews.com.co,fake
celebtricity.com,satire
centerforsecuritypolicy.org,bias
centerforsecuritypolicy.org,hate
channel-7-news.com,fake
channel18news.com,fake
charismanews.com,bias
chaser.com.au,satire
checkoutthehealthyworld.com,junksci
chicksontheright.com,clickbait
christianfightback.com,hate
christianpost.com,reliable
christiantimesnewspaper.com,rumor
christwire.org,satire
chronicle.su,satire
chroniclesmagazine.org,political
citizensunited.org,bias
city-journal.org,political
cityworldnews.com,fake
civictribune.com,fake
clashdaily.com,fake
clickhole.com,satire
cnnews3.com,fake
cnnnext.com,unreliable
cnsnews.com,unreliable
coasttocoastam.com,unreliable
coed.com,fake
collective-evolution.com,junksci
collectivelyconscious.net,junksci
commentarymagazine.com,political
commondreams.org,political
concisepolitics.com,conspiracy
consciouslifenews.com,junksci
conservapedia.com,bias
conservativebyte.com,fake
conservativedailypost.com,fake
conservativefighters.com,fake
conservativefiringline.com,bias
conservativeflashnews.com,fake
conservativehq.com,bias
conservativeinfidel.com,fake
conservativeoutfitters.com,unreliable
conservativepapers.com,bias
conservativerefocus.com,conspiracy
conservativereview.com,political
conservativespirit.com,bias
conservativestate.com,bias
conservativetribune.com,bias
consortiumnews.com,reliable
conspiracyplanet.com,conspiracy
conspiracywire.com,conspiracy
corbettreport.com,conspiracy
countdowntozerotime.com,conspiracy
countercurrentnews.com,bias
countercurrents.org,political
counterinformation.wordpress.com,political
counterjihad.com,bias
counterpsyops.com,conspiracy
counterpunch.com,political
counterpunch.org,political
cowgernation.com,bias
creambmp.com,satire
creativitymovement.net,hate
cryptogon.com,conspiracy
crystalair.com,satire
dailybuzzlive.com,fake
dailycaller.com,political
dailycurrant.com,satire
dailydiscord.com,satire
dailyheadlines.com,fake
dailyheadlines.net,fake
dailyinfobox.com,fake
dailyken.com,hate
dailykos.com,political
dailyleak.org,satire
dailynews10.com,fake
dailynews5.com,fake
dailynewsbin.com,bias
dailynewsposts.info,fake
dailyoccupation.com,conspiracy
dailypoliticsusa.com,bias
dailysignal.com,bias
dailysnark.com,satire
dailysquib.co.uk,satire
dailystormer.com,hate
dailysurge.com,fake
dailytelegraph.com.au,bias
dailyusaupdate.com,fake
dailywire.com,bias
damnleaks.com,fake
dandygoat.com,satire
darkmoon.me,hate
darkpolitricks.com,bias
dataasylum.com,conspiracy
davejanda.com,unreliable
davidduke.com,hate
davidstockmanscontracorner.com,political
davidwolfe.com,conspiracy
dcclothesline.com,conspiracy
dcgazette.com,fake
dcleaks.com,unreliable
ddemocraticunderground.com,fake
deadlinelive.info,political
deadlyclear.wordpress.com,bias
debunkingskeptics.com,bias
defenddemocracy.press,bias
dennismichaellynch.com,political
denverguardian.com,fake
departed.co,fake
departedmedia.com,fake
der-postillon.com,satire
derfmagazine.com,satire
dineal.com,junksci
disclose.tv,satire
disclosuremedia.net,conspiracy
dissentmagazine.org,political
diversitychronicle.wordpress.com,satire
diyhours.net,fake
dollarvigilante.com,bias
donaldtrumpnews.co,fake
donaldtrumppotus45.com,fake
dont-tread-on.me,conspiracy
downtrend.com,fake
drrichswier.com,hate
drudgereport.com,political
drudgereport.com.co,fake
duffleblog.com,satire
duhprogressive.com,satire
dutchsinse.com,conspiracy
eaglerising.com,bias
ebolahoax.com,conspiracy
economicnoise.com,political
ecowatch.com,political
educate-yourself.org,conspiracy
educateinspirechange.org,clickbait
electionnightgatekeepers.com,conspiracy
elelephantintheroom.blogspot.com,bias
elitereaders.com,clickbait
elkoshary.com,satire
elmundotoday.com,satire
embols.com,fake
empirehearland.com,fake
empireherald.com,fake
empirenews.net,fake
empiresports.co,satire
emptywheel.net,political
en-vovle.com,fake
enabon.com,fake
endingthefed.com,bias
endoftheamericandream.com,conspiracy
endtime.com,bias
enduringvision.com,fake
enhlive.com,fake
eutimes.net,hate
eutopia.buzz,fake
ewao.com,junksci
experimentalvaccines.org,junksci
expose1933.com,conspiracy
express.co.uk,rumor
extraclubmagazine.com,bias
eyeopening.info,conspiracy
fakingnews.com,fake
familysecuritymatters.org,conspiracy
farmwars.info,fake
federalistpress.com,bias
fedsalert.com,fake
fellowshipoftheminds.com,conspiracy
filmsforaction.org,political
