fake_news_domain,category
16wmpo.com,fake
24newsflash.com,fake
24wpn.com,fake
70news.wordpress.com,fake
abcnews.com.co,fake
abcnewsgo.co,fake
alternativemediasyndicate.com,fake
americannews.com,fake
americanoverlook.com,fake
americanpoliticnews.co,fake
americanpresident.co,fake
amposts.com,fake
anews24.org,fake
anonjekloy.tk,fake
aurora-news.us,fake
beforeitsnews.com,fake
bighairynews.com,fake
blackinusrancenews.com,fake
bostonleader.com,fake
buzzfeedusa.com,fake
cannasos.com,fake
cap-news.com,fake
cbsnews.com.co,fake
channel-7-news.com,fake
channel18news.com,fake
cityworldnews.com,fake
civictribune.com,fake
clashdaily.com,fake
cnnews3.com,fake
coed.com,fake
conservativebyte.com,fake
conservativedailypost.com,fake
conservativefighters.com,fake
conservativeflashnews.com,fake
conservativeinfidel.com,fake
dailybuzzlive.com,fake
dailyheadlines.com,fake
dailyheadlines.net,fake
dailyinfobox.com,fake
dailynews10.com,fake
dailynews5.com,fake
dailynewsposts.info,fake
dailysurge.com,fake
dailyusaupdate.com,fake
damnleaks.com,fake
dcgazette.com,fake
ddemocraticunderground.com,fake
denverguardian.com,fake
departed.co,fake
departedmedia.com,fake
diyhours.net,fake
donaldtrumpnews.co,fake
donaldtrumppotus45.com,fake
downtrend.com,fake
drudgereport.com.co,fake
embols.com,fake
empirehearland.com,fake
empireherald.com,fake
empirenews.net,fake
en-vovle.com,fake
enabon.com,fake
enduringvision.com,fake
enhlive.com,fake
eutopia.buzz,fake
fakingnews.com,fake
farmwars.info,fake
fedsalert.com,fake
flashnewscorner.com,fake
floridasunpost.com,fake
freedomdaily.com,fake
freshdailyreport.com,fake
givemeliberity01.com,fake
globalpoliticsnow.com,fake
goneleft.com,fake
gopthedailydose.com,fake
gummypost.com,fake
healthycareandbeauty.com,fake
healthyworldhouse.com,fake
immediatesafety.org,fake
infostormer.com,fake
interestingdailynews.com,fake
intrendtoday.com,fake
itaglive.com,fake
itmakessenseblog.com,fake
iwanttoexplore.com,fake
kmt11.com,fake
konkonsagh.biz,fake
krbcnews.com,fake
ky12news.com,fake
ladylibertynews.com,fake
lastdeplorables.com,fake
learnprogress.org,fake
liberalplug.com,fake
libertyalliance.com,fake
libertyblitzkrieg.com,fake
local31news.com,fake
madworldnews.com,fake
maganews.co,fake
majorthoughts.com,fake
mediamass.net,fake
megynkelly.us,fake
mentor2day.com,fake
metropolitanworlds.com,fake
mpidailymagazine.com,fake
mrconservative.com,fake
msnbc.website,fake
myfreshnews.com,fake
myzonetoday.com,fake
nationonenews.com,fake
nbc.com.co,fake
nephef.com,fake
newpoliticstoday.com,fake
news4ktla.com,fake
newsbbc.net,fake
newsbreakshere.com,fake
newsbysquad.com,fake
newsdaily12.com,fake
newsexaminer.net,fake
newsfrompolitics.com,fake
newsleak.co,fake
newslo.com,fake
newsmagazine.com,fake
newswatch28.com,fake
newswatch33.com,fake
newswithviews.com,fake
now8news.com,fake
onepoliticalplaza.com,fake
onlineconservativepress.com,fake
openmagazines.com,fake
pakalertpress.com,fake
politicalo.com,fake
politicalsitenews.com,fake
politicalupdator.com,fake
politicono.com,fake
politicsusanews.com,fake
president45donaldtrump.com,fake
prntly.com,fake
proamericanews.com,fake
proudcons.com,fake
react365.com,fake
realnewsrightnow.com,fake
redcountry.us,fake
redrocktribune.com,fake
religionmind.com,fake
rhotv.com,fake
rickwells.us,fake
rilenews.com,fake
rogue-nation3.com,fake
rumorjournal.com,fake
smag31.com,fake
socialeverythings.com,fake
stormcloudsgathering.com,fake
subjectpolitics.com,fake
success-street.com,fake
supremepatriot.com,fake
tdtalliance.com,fake
teaparty.org,fake
thatviralfeed.net,fake
the-insider.co,fake
theamericanindependent.wordpress.com,fake
thebigriddle.com,fake
thebostontribune.com,fake
thecommonsenseshow.com,fake
thecontroversialfiles.net,fake
thefreepatriot.org,fake
theinternetpost.net,fake
thelastgreatstand.com,fake
themoralofthestory.us,fake
thenet24h.com,fake
thenewyorkevening.com,fake
theracketreport.com,fake
thereporterz.com,fake
therightscoop.com,fake
thetrumpmedia.com,fake
thetruthdivision.com,fake
thetruthseeker.co.uk,fake
theusa-news.com,fake
thewashingtonpress.com,fake
threepercenternation.com,fake
times.com.mx,fake
tmzworldnews.com,fake
trueamericans.me,fake
truetrumpers.com,fake
trumpvision365.com,fake
undergroundnewsreport.com,fake
undergroundworldnews.com,fake
unitedmediapublishing.com,fake
universepolitics.com,fake
usa-radio.com,fake
usa-television.com,fake
usa2016elections.com,fake
usadailyinfo.com,fake
usadailypolitics.com,fake
usadailytime.com,fake
usadosenews.com,fake
usafirstinformation.com,fake
usahitman.com,fake
usainfobox.com,fake
usamagazinestudio.com,fake
usanewsflash.com,fake
usanewsinsider.com,fake
usanewspolitics.com,fake
usanewstoday.com,fake
usaonlinepolitics.com,fake
usaphase.com,fake
usapolitics24hrs.com,fake
usapoliticsnow.com,fake
usapoliticszone.com,fake
usasnich.com,fake
usasupreme.com,fake
usatoday.com.co,fake
usatodaynews.me,fake
usatwentyfour.com,fake
usconservativetoday.com,fake
usfanzone.com,fake
ushealthyadvisor.com,fake
ushealthylife.com,fake
usinfonews.com,fake
uspoliticslive.com,fake
uspoln.com,fake
uspostman.com,fake
vigilantcitizen.com,fake
viralactions.com,fake
viralliberty.com,fake
voxtribune.com,fake
washingtonfed.com,fake
washingtonpost.com.co,fake
webdaily.com,fake
weeklyworldnews.com,fake
worldpoliticsnow.com,fake
worldpoliticsus.com,fake
worldrumor.com,fake
worldstoriestoday.com,fake
wtoe5news.com,fake
yesimright.com,fake
yourfunpage.com,fake
