fake_news_domain,category
16wmpo.com,imposter
247newsmedia.com,fake
24online.news,imposter
24wpn.com,fake
24x365live.com,fake
a-news24.com,fake
abcnews.com.co,imposter
actualidadpanamericana.com,parody
alabamaobserver.com,imposter
americanflavor.news,fake
americannews.com,fake
americanpeoplenetwork.com,fake
americanpoliticnews.co,fake
americanpresident.co,fake
americantoday.us,fake
amposts.com,fake
anews24.org,fake
angrypatriotmovement.com,fake
anonjekloy.tk,fake
antinews.com,fake
armyusanews.com,fake
asamericanasapplepie.org,parody
associatedmediacoverage.com,parody
attitude.co.uk,some
aurora-news.us,imposter
awarenessact.com,some
babylonbee.com,parody
bb4sp.com,fake
beforeitsnews.com,fake
benjaminfulford.typepad.com,fake
bestthings.us,some
blackinsurancenews.com,some
blog.veterantv.net,parody
bluelinestrong.net,some
bluevision.news,fake
bluevisionpost.com,fake
bostonleader.com,parody
bostontribune.com,parody
breakingnews247.net,imposter
breakingnews365.net,imposter
breakingnewsblast.com,fake
breakingtop.world,fake
buzzfeedusa.com,fake
cannasos.com,some
channel18news.com,imposter
channel24news.com,imposter
christiantimesnewspaper.com,imposter
christiantoday.info,fake
city-herald.com,some
civictribune.com,fake
civictribune.com,imposter
clashdaily.com,fake
cnewsgo.com,fake
cnn-business-news.ga,imposter
cnnews3.com,imposter
coffeebreakforyou.com,fake
conservative101.com,fake
conservative7.com,some
conservativearmy88.com,fake
conservativedailypost.com,fake
conservativeflashnews.com,fake
conservativeinfocorner.com,fake
conservativepaper.com,fake
conservativepoliticus.com,some
conservativespirit.com,fake
conservativeview.info,fake
dailybuzzlive.com,fake
dailyfeed.news,fake
dailyinfobox.com,fake
dailynews10.com,imposter
dailynews5.com,imposter
dailynewsposts.info,fake
dailysidnews.com,fake
dailysnark.com,parody
dailystormer.com,some
dailysurge.com,fake
dailythings.world,fake
dailyusaupdate.com,fake
damnleaks.com,fake
defenseusa.club,fake
democraticmoms.com,fake
democraticunderground.com,fake
denverinquirer.com,imposter
departedme.com,fake
departedmedia.com,fake
disclose.tv,fake
diyhours.net,fake
donaldtrumppotus45.com,fake
duffelblog.com,parody
empireherald.com,imposter
empirenews.net,parody
empiresports.co,parody
en-volve.com,fake
enhlive.com,fake
factrider.com,some
federalisttribune.com,fake
fedsalert.com,fake
firstpost.com,some
flashnewscorner.com,fake
floridasunpost.com,parody
focusnews.info,fake
forfreedomworld.com,fake
fox-news24.com,imposter
freedomcrossroads.us,parody
freedomdaily.com,fake
freedomjunkshun.com,parody
freedomsfinalstand.com,fake
freeinfomedia.com,fake
freerepublic.com,some
freewoodpost.com,parody
freshdailyreport.com,fake
givemeliberty01.com,fake
globalpoliticsnow.com,fake
globalrevolutionnetwork.com,fake
guerilla.news,fake
gummypost.com,fake
halfwaypost.com,parody
healthycareandbeauty.com,some
healthyworldhouse.com,fake
heightpost.com,some
higherperspectives.com,some
houstonchronicle-tv.com,imposter
huzlers.com,parody
ideaspots.com,some
ilovenativeamericans.us,some
independentminute.com,some
indiatimes.com,some
interestingdailynews.com,fake
isthatlegit.com,fake
jewsnews.co.il,some
kbc14.com,imposter
kcst7.com,imposter
kf13.com,imposter
kmt11.com,imposter
konkonsagh.biz,fake
krb7.com,imposter
kty24news.com,imposter
ky12news.com,imposter
ladylibertysnews.com,fake
lastdeplorables.com,fake
learnprogress.org,some
liberalplug.com,fake
liberty-courier.com,fake
libertyalliance.com,fake
local31news.com,imposter
londonwebnews.com,some
macedoniaonline.eu,some
madworldnews.com,fake
majorthoughts.com,fake
mediamaxzone.com,some
mentor2day.com,some
metropolitanworlds.com,fake
mississippiherald.com,imposter
nation.com.pk,some
nationalreport.net,parody
nativeamericans.us,some
nativestuff.us,fake
nbc.com.co,imposter
neonnettle.com,fake
nephef.com,fake
newpoliticstoday.com,fake
news4ktla.com,imposter
newsbreakhere.com,fake
newsbreakingspipe.com,fake
newsbreakshere.com,fake
newsbysquad.com,fake
newsconservative.com,fake
newsdaily12.com,imposter
newsexaminer.net,fake
newsfeedhunter.com,fake
newsformetoday.com,some
newsformetoday.com,fake
newsjustforyou1.blogspot.com,fake
newsleak.co,fake
newslo.com,parody
newsoftrump.com,fake
newsphd.com,fake
newsuptoday.com,fake
newzmagazine.com,fake
nnettle.com,fake
notallowedto.com,fake
now8news.com,imposter
nunadisbereel.com,parody
nydailynews-tv.com,imposter
observeronline.news,imposter
onepoliticalplaza.com,fake
openmagazines.com,fake
ourlandofthefree.com,parody
patriotcrier.com,fake
patriotusa.website,fake
persecutes.com,fake
politicalmayhem.news,fake
politicalo.com,parody
politicass.com,parody
politicono.com,parody
politicops.com,parody
politicot.com,parody
politicspaper.com,fake
politicsusanews.com,fake
positivedaily.com,some
postcard.news,some
president45donaldtrump.com,fake
prntly.com,fake
proudleader.com,fake
puppetstringnews.com,fake
react365.com,imposter
readconservatives.news,fake
realnewsrightnow.com,parody
rearfront.com,fake
redcountry.us,fake
redinfo.us,fake
redpolitics.us,fake
redrocktribune.com,imposter
reflectionofmind.org,some
religionlo.com,parody
religionmind.com,fake
