fake_news_domain,category
247newsmedia.com,fake
24wpn.com,fake
24x365live.com,fake
a-news24.com,fake
americanflavor.news,fake
americannews.com,fake
americanpeoplenetwork.com,fake
americanpoliticnews.co,fake
americanpresident.co,fake
americantoday.us,fake
amposts.com,fake
anews24.org,fake
angrypatriotmovement.com,fake
anonjekloy.tk,fake
antinews.com,fake
armyusanews.com,fake
bb4sp.com,fake
beforeitsnews.com,fake
benjaminfulford.typepad.com,fake
bluevision.news,fake
bluevisionpost.com,fake
breakingnewsblast.com,fake
breakingtop.world,fake
buzzfeedusa.com,fake
christiantoday.info,fake
civictribune.com,fake
clashdaily.com,fake
cnewsgo.com,fake
coffeebreakforyou.com,fake
conservative101.com,fake
conservativearmy88.com,fake
conservativedailypost.com,fake
conservativeflashnews.com,fake
conservativeinfocorner.com,fake
conservativepaper.com,fake
conservativespirit.com,fake
conservativeview.info,fake
dailybuzzlive.com,fake
dailyfeed.news,fake
dailyinfobox.com,fake
dailynewsposts.info,fake
dailysidnews.com,fake
dailysurge.com,fake
dailythings.world,fake
dailyusaupdate.com,fake
damnleaks.com,fake
defenseusa.club,fake
democraticmoms.com,fake
democraticunderground.com,fake
departedme.com,fake
departedmedia.com,fake
disclose.tv,fake
diyhours.net,fake
donaldtrumppotus45.com,fake
en-volve.com,fake
enhlive.com,fake
federalisttribune.com,fake
fedsalert.com,fake
flashnewscorner.com,fake
focusnews.info,fake
forfreedomworld.com,fake
freedomdaily.com,fake
freedomsfinalstand.com,fake
freeinfomedia.com,fake
freshdailyreport.com,fake
givemeliberty01.com,fake
globalpoliticsnow.com,fake
globalrevolutionnetwork.com,fake
guerilla.news,fake
gummypost.com,fake
healthyworldhouse.com,fake
interestingdailynews.com,fake
isthatlegit.com,fake
konkonsagh.biz,fake
ladylibertysnews.com,fake
lastdeplorables.com,fake
liberalplug.com,fake
liberty-courier.com,fake
libertyalliance.com,fake
madworldnews.com,fake
majorthoughts.com,fake
metropolitanworlds.com,fake
nativestuff.us,fake
neonnettle.com,fake
nephef.com,fake
newpoliticstoday.com,fake
newsbreakhere.com,fake
newsbreakingspipe.com,fake
newsbreakshere.com,fake
newsbysquad.com,fake
newsconservative.com,fake
newsexaminer.net,fake
newsfeedhunter.com,fake
newsformetoday.com,fake
newsjustforyou1.blogspot.com,fake
newsleak.co,fake
newsoftrump.com,fake
newsphd.com,fake
newsuptoday.com,fake
newzmagazine.com,fake
nnettle.com,fake
notallowedto.com,fake
onepoliticalplaza.com,fake
openmagazines.com,fake
patriotcrier.com,fake
patriotusa.website,fake
persecutes.com,fake
politicalmayhem.news,fake
politicspaper.com,fake
politicsusanews.com,fake
president45donaldtrump.com,fake
prntly.com,fake
proudleader.com,fake
puppetstringnews.com,fake
readconservatives.news,fake
rearfront.com,fake
redcountry.us,fake
redinfo.us,fake
redpolitics.us,fake
religionmind.com,fake
revolutions2040.com,fake
rogue-nation3.com,fake
rumorjournal.com,fake
snoopack.com,fake
socialeverythings.com,fake
southernconservativeextra.com,fake
spinzon.com,fake
states-tv.com,fake
stgeorgegazette.com,fake
success-street.com,fake
supremepatriot.com,fake
tdtalliance.com,fake
teoinfo.com,fake
the-global-news.com,fake
the-insider.co,fake
theexaminer.site,fake
theinternetpost.net,fake
themoralofthestory.us,fake
thenet24h.com,fake
thepremiumnews.com,fake
theracketreport.com,fake
thetrumpmedia.com,fake
theusa-news.com,fake
theusaconservative.com,fake
theworldupdate.com,fake
thirdestatenewsgroup.com,fake
tmzworldnews.com,fake
trueamericans.me,fake
truetrumpers.com,fake
undergroundnewsreport.com,fake
universepolitics.com,fake
usa-radio.com,fake
usa360-tv.com,fake
usaconservativereport.com,fake
usadailyinfo.com,fake
usadailypost.us,fake
usadailythings24.com,fake
usadailytime.com,fake
usadosenews.com,fake
usafirstinformation.com,fake
usanews4u.us,fake
usanewsflash.com,fake
usanewshome.com,fake
usanewstoday.com,fake
usapolitics24hrs.com,fake
usapoliticsnow.com,fake
usapoliticstoday.com,fake
usapoliticszone.com,fake
usasnich.com,fake
usasupreme.com,fake
usaworldbox.com,fake
ushealthyadvisor.com,fake
ushealthylife.com,fake
usherald.com,fake
usinfonews.com,fake
uspoliticsinfo.com,fake
uspoln.com,fake
uspostman.com,fake
ustruthwire.com,fake
veteransfordonaldtrump.com,fake
viralactions.com,fake
voxtribune.com,fake
wazanews.tk,fake
weconservative.com,fake
weekendpoliticalnews.com,fake
wetheproudpatriots.com,fake
whatdoesitmean.com,fake
world.politics.com,fake
worldnewscircle.com,fake
worldpoliticsnow.com,fake
worldtruth.tv,fake
yournewswire.com,fake
