fake_news_domain,category
70news.wordpress.com,fake
abcnews.com.co,fake
americannews.com,fake
beforeitsnews.com,fake
bients.com,fake
bizstandardnews.com,fake
bloomberg.ma,fake
breaking-cnn.com,fake
bvanews.com,fake
cbsnews.com.co,fake
celebtricity.com,fake
christiantimesnewspaper.com,fake
cnn-trending.com,fake
conservative101.com,fake
conservativedailypost.com,fake
conservativefrontline.com,fake
countynewsroom.info,fake
dailybuzzlive.com,fake
dailyusaupdate.com,fake
dcgazette.com,fake
denverguardian.com,fake
disclose.tv,fake
drudgereport.com.co,fake
empireherald.com,fake
empirenews.net,fake
empiresports.co,fake
endingthefed.com,fake
expositiondaily.com,fake
fox-news24.com,fake
globalassociatednews.com,fake
globalresearch.ca,fake
guerilla.news,fake
gummypost.com,fake
houstonchronicle-tv.com,fake
huzlers.com,fake
infowars.com,fake
interestingthingsdaily.com,fake
kmt11.com,fake
liberalsociety.com,fake
libertywriters.com,fake
linkbeef.com,fake
mediafetcher.com,fake
mzansiville.co.za,fake
nahadaily.com,fake
nationalinsiderpolitics.com,fake
nationalreport.net,fake
naturalnews.com,fake
nbcnews.com.co,fake
news-hound.org,fake
newsbreakshere.com,fake
newsbuzzdaily.com,fake
newsexaminer.net,fake
newspunch.com,fake
newswatch28.com,fake
newswatch33.com,fake
nnn.is,fake
now8news.com,fake
opindia.com,fake
prntly.com,fake
react365.com,fake
realtruenews.com,fake
redflagnews.com,fake
snoopack.com,fake
spinzon.com,fake
stgeorgegazette.com,fake
stuppid.com,fake
subjectpolitics.com,fake
superstation95.com,fake
thebostontribune.com,fake
thegatewaypundit.com,fake
thelastlineofdefense.org,fake
thenewsnerd.com,fake
thenewyorkevening.com,fake
thepredicted.com,fake
thereporterz.com,fake
truetrumpers.com,fake
uconservative.net,fake
undergroundnewsreport.com,fake
unitedmediapublishing.com,fake
usadailyinfo.com,fake
usatoday.com.co,fake
uspostman.com,fake
washingtonpost.com.co,fake
worldnewsdailyreport.com,fake
worldtruth.tv,fake
yournewswire.com,fake
κβοι2.com,fake
квоі2.com,fake
